[2020-12-12T13:21:38.597134+08:00] log.DEBUG: SELECT `position_id` AS `lf`, `position` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `master_position` [] []
[2020-12-12T19:20:38.219336+08:00] log.DEBUG: SELECT `quotation_no` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` WHERE `quotation_no` IN ('166925') [] []
[2020-12-12T19:23:10.560964+08:00] log.DEBUG: SELECT `quotation_no` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` WHERE `quotation_no` IN ('178299') [] []
[2020-12-12T19:23:16.004617+08:00] log.DEBUG: SELECT `quotation_no` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` WHERE `quotation_no` IN ('171251') [] []
[2020-12-12T19:23:29.031423+08:00] log.DEBUG: SELECT `quotation_no` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` WHERE `quotation_no` IN ('184421') [] []
[2020-12-12T19:23:34.402411+08:00] log.DEBUG: SELECT `quotation_no` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` WHERE `quotation_no` LIKE 'Qutotation No Date %' LIMIT 10 [] []
[2020-12-12T19:23:36.231100+08:00] log.DEBUG: SELECT `quotation_no` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` WHERE `quotation_no` LIKE 'Qutotation No Dat%' LIMIT 10 [] []
[2020-12-12T19:23:37.278371+08:00] log.DEBUG: SELECT `quotation_no` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` WHERE `quotation_no` LIKE '%' LIMIT 10 [] []
[2020-12-12T19:23:53.529845+08:00] log.DEBUG: SELECT `quotation_no` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` WHERE `quotation_no` IN ('159266') [] []
[2020-12-12T19:23:56.247976+08:00] log.DEBUG: SELECT `quotation_no` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` WHERE `quotation_no` LIKE 'MITRAL/20/12/Q/00000%' LIMIT 10 [] []
[2020-12-12T19:24:00.340202+08:00] log.DEBUG: SELECT `quotation_no` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` WHERE `quotation_no` LIKE 'MITRAL/20/12/Q/000001%' LIMIT 10 [] []
[2020-12-12T19:24:03.569321+08:00] log.DEBUG: SELECT `quotation_no` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` WHERE `quotation_no` IN ('MITRAL/20/12/Q/000001') [] []
[2020-12-12T19:24:05.527437+08:00] log.DEBUG: SELECT `quotation_no` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` WHERE `quotation_no` IN ('MITRAL/20/12/Q/000001') [] []
[2020-12-12T19:24:09.825840+08:00] log.DEBUG: SELECT `quotation_no` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` WHERE `quotation_no` IN ('MITRAL/20/12/Q/000001') [] []
[2020-12-12T19:24:32.267291+08:00] log.DEBUG: SELECT `quotation_no` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` WHERE `quotation_no` IN ('MITRAL/20/12/Q/000001') [] []
[2020-12-12T19:24:34.349345+08:00] log.DEBUG: SELECT `quotation_no` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` WHERE `quotation_no` IN ('140376') [] []
[2020-12-12T19:24:55.825349+08:00] log.DEBUG: SELECT `quotation_no` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` WHERE `quotation_no` IN ('150841') [] []
[2020-12-12T19:25:04.866121+08:00] log.DEBUG: SELECT `quotation_no` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` WHERE `quotation_no` IN ('176511') [] []
[2020-12-12T19:25:10.988836+08:00] log.DEBUG: SELECT `quotation_no` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` WHERE `quotation_no` IN ('156625') [] []
[2020-12-12T19:32:51.083236+08:00] log.DEBUG: SELECT `quotation_no` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` WHERE `quotation_no` IN ('159475') [] []
[2020-12-12T19:32:55.919310+08:00] log.DEBUG: SELECT `quotation_no` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` WHERE `quotation_no` LIKE 'mit%' LIMIT 10 [] []
[2020-12-12T19:32:59.319089+08:00] log.DEBUG: SELECT `quotation_no` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` WHERE `quotation_no` IN ('mit') [] []
[2020-12-12T19:33:08.721473+08:00] log.DEBUG: SELECT `quotation_no` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` WHERE `quotation_no` IN ('mit') [] []
[2020-12-12T19:35:01.001656+08:00] log.DEBUG: SELECT `quotation_no` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` WHERE `quotation_no` IN ('mit') [] []
[2020-12-12T19:51:33.775998+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T19:51:38.108323+08:00] log.DEBUG: SELECT `customer_id` AS `lf`, `customer_name` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `customer` [] []
[2020-12-12T20:10:30.719935+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T20:10:39.682712+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T20:10:43.461598+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T20:10:52.043580+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T20:11:29.130780+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T20:11:42.498502+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T20:13:42.938754+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T20:14:15.333216+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T20:15:02.346011+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T20:16:20.125752+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T20:17:35.367925+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T20:17:38.616774+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T20:18:47.251468+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T20:19:01.666372+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T20:21:14.989653+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T20:22:25.887548+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T20:25:57.269385+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T20:26:04.104537+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T20:26:06.893649+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T20:26:09.076349+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T20:26:10.835457+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T20:27:50.213540+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T20:30:40.280428+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T20:31:50.365024+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T20:37:06.723992+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T20:40:10.321271+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T20:42:54.637125+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T20:44:13.113202+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T20:44:17.165475+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T20:45:36.257358+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T20:45:40.437700+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T20:49:13.667338+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T20:49:27.015737+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T20:51:11.177652+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T20:51:14.689134+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T20:52:38.466429+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T20:57:09.079614+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T21:00:18.090513+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T21:11:32.017959+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T21:20:29.877634+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T21:26:23.021167+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T21:29:00.723653+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T21:33:19.674314+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T21:36:29.881823+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T21:36:49.998091+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T21:37:14.745393+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T21:41:37.207316+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T21:43:29.427058+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T21:45:15.957377+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T21:48:06.318141+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T21:48:11.394753+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T21:48:19.222344+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
[2020-12-12T21:48:38.414407+08:00] log.DEBUG: SELECT `quotation_id` AS `lf`, `quotation_no` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `employee_quotation` [] []
